# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73687945.692 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.002; fsl: 0.002; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.291	3.000	0.030
1993	0.263	3.000	0.030
1994	0.173	3.000	0.030
1995	0.120	3.000	0.020
1996	0.088	3.000	0.030
1997	0.072	3.000	0.060
1998	0.060	3.000	0.030
1999	0.061	3.000	0.040
2000	0.060	3.000	0.030
2001	0.052	3.000	0.040
2002	0.049	3.000	0.030
2003	0.043	3.000	0.040
2004	0.043	3.000	0.030
2005	0.041	3.000	0.030
2006	0.034	3.000	0.040
2007	0.032	3.000	0.030
2008	0.032	3.000	0.030
2009	0.029	3.000	0.030
2010	0.024	3.000	0.040
2011	0.017	3.000	0.030
2012	0.011	3.000	0.040
2013	0.007	3.000	0.040
2014	0.004	3.000	0.040
