#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	130.599	1733.807	-47.358	-0.012	0.011	1.008	-53.354
1993	125.336	1740.298	-47.357	-0.035	0.005	1.010	-53.118
1994	114.966	1745.592	-47.309	-0.013	0.015	1.013	-52.578
1995	103.085	1747.898	-47.279	0.047	0.031	1.014	-53.420
1996	89.908	1749.100	-47.289	0.006	0.003	1.015	-53.278
1997	76.279	1753.929	-47.247	-0.001	-0.002	1.017	-52.408
1998	64.157	1762.871	-47.196	0.002	-0.001	1.019	-52.888
1999	53.804	1770.873	-47.197	-0.004	0.001	1.012	-53.279
2000	45.075	1774.410	-47.204	-0.003	0.006	1.004	-53.199
2001	37.640	1774.266	-47.202	0.002	0.009	1.006	-53.295
2002	31.364	1774.032	-47.205	-0.002	0.002	1.014	-53.257
2003	26.157	1774.759	-47.192	-0.000	0.011	1.016	-52.961
2004	21.827	1774.203	-47.190	0.004	0.028	1.016	-53.453
2005	18.230	1773.528	-47.208	0.002	0.020	1.020	-53.326
2006	15.236	1776.014	-47.211	0.000	0.015	1.030	-53.085
2007	12.743	1781.599	-47.196	0.003	0.012	1.034	-52.883
2008	10.664	1787.119	-47.191	0.012	0.009	1.027	-53.246
2009	8.929	1791.694	-47.242	0.002	0.002	1.023	-53.920
2010	7.485	1797.873	-47.310	-0.021	-0.004	1.032	-53.603
2011	6.264	1804.462	-47.344	0.013	0.004	1.042	-53.435
2012	5.220	1808.104	-47.355	0.028	0.008	1.037	-53.358
2013	4.366	1813.743	-47.364	-0.010	-0.014	1.022	-53.406
2014	3.680	1823.870	-47.364	-0.013	-0.013	1.011	-53.140
