#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	130.612	1747.528	-47.331	-0.010	0.013	1.000	-53.000
1993	125.303	1750.632	-47.296	-0.036	0.003	1.000	-53.000
1994	114.967	1752.247	-47.262	-0.017	0.011	1.000	-53.000
1995	103.103	1750.714	-47.225	0.046	0.029	1.000	-53.000
1996	89.903	1748.567	-47.192	0.007	0.004	1.000	-53.000
1997	76.275	1750.555	-47.170	-0.001	-0.002	1.000	-53.000
1998	64.158	1756.484	-47.159	0.001	-0.001	1.000	-53.000
1999	53.802	1762.156	-47.147	-0.004	-0.000	1.000	-53.000
2000	45.079	1765.279	-47.131	-0.003	0.004	1.000	-53.000
2001	37.650	1765.354	-47.110	0.001	0.008	1.000	-53.000
2002	31.366	1764.043	-47.089	-0.003	0.002	1.000	-53.000
2003	26.149	1762.791	-47.070	-0.000	0.012	1.000	-53.000
2004	21.820	1760.769	-47.053	0.006	0.028	1.000	-53.000
2005	18.233	1758.679	-47.037	0.003	0.019	1.000	-53.000
2006	15.241	1758.015	-47.026	-0.001	0.013	1.000	-53.000
2007	12.741	1758.725	-47.020	0.000	0.010	1.000	-53.000
2008	10.658	1760.356	-47.015	0.010	0.009	1.000	-53.000
2009	8.927	1763.418	-47.014	0.003	0.003	1.000	-53.000
2010	7.488	1767.944	-47.015	-0.017	-0.003	1.000	-53.000
2011	6.267	1770.492	-47.012	0.012	0.003	1.000	-53.000
2012	5.220	1769.638	-47.002	0.024	0.006	1.000	-53.000
2013	4.365	1773.554	-47.003	-0.010	-0.013	1.000	-53.000
2014	3.680	1784.854	-47.017	-0.012	-0.012	1.000	-53.000
