#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	132.010	1733.525	-47.357	0.056	0.100	1.032	-53.184
1993	124.806	1740.835	-47.349	-0.050	-0.020	1.034	-53.042
1994	114.793	1745.074	-47.312	-0.001	0.032	1.010	-52.835
1995	103.158	1747.521	-47.283	0.112	0.079	1.020	-53.166
1996	89.837	1750.738	-47.273	0.043	0.022	1.020	-53.101
1997	76.387	1753.331	-47.235	0.015	0.013	1.017	-52.693
1998	64.198	1762.128	-47.208	-0.022	0.014	1.084	-52.859
1999	53.668	1771.813	-47.210	-0.043	0.042	1.039	-53.123
2000	44.913	1774.067	-47.207	-0.023	0.094	1.020	-53.169
2001	37.571	1773.120	-47.200	0.010	0.100	1.009	-53.214
2002	31.420	1773.656	-47.199	0.018	0.126	1.033	-53.183
2003	26.228	1775.532	-47.196	0.023	0.169	1.024	-53.111
2004	21.872	1774.747	-47.193	0.035	0.198	1.008	-53.311
2005	18.288	1774.157	-47.201	0.037	0.141	1.024	-53.291
2006	15.283	1775.174	-47.201	0.031	0.094	1.024	-53.103
2007	12.765	1780.874	-47.198	0.027	0.054	1.072	-52.977
2008	10.675	1787.845	-47.206	0.031	0.025	1.045	-53.233
2009	8.935	1792.208	-47.244	0.020	-0.001	1.052	-53.630
2010	7.483	1796.965	-47.297	0.008	-0.020	1.054	-53.562
2011	6.263	1803.399	-47.336	0.056	-0.026	1.074	-53.396
2012	5.236	1809.161	-47.351	0.026	-0.042	1.056	-53.277
2013	4.380	1814.902	-47.356	-0.062	-0.072	1.080	-53.237
2014	3.661	1823.183	-47.356	-0.039	-0.039	1.089	-53.083
