#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	130.611	1733.751	-47.357	-0.011	0.010	1.008	-53.340
1993	125.309	1740.404	-47.358	-0.035	0.005	1.013	-53.141
1994	114.967	1745.351	-47.311	-0.019	0.015	1.008	-52.597
1995	103.104	1747.624	-47.278	0.043	0.031	1.021	-53.348
1996	89.899	1750.520	-47.289	0.009	0.004	1.026	-53.260
1997	76.270	1752.951	-47.242	-0.000	-0.002	0.980	-52.471
1998	64.162	1762.469	-47.198	-0.001	-0.002	1.056	-52.875
1999	53.803	1772.068	-47.203	-0.005	0.001	0.993	-53.294
2000	45.081	1774.097	-47.205	-0.001	0.006	1.007	-53.207
2001	37.647	1773.248	-47.200	0.002	0.007	0.996	-53.273
2002	31.358	1773.311	-47.202	-0.003	0.001	1.028	-53.225
2003	26.152	1776.003	-47.194	-0.001	0.010	1.021	-52.972
2004	21.827	1774.569	-47.188	0.003	0.026	1.002	-53.437
2005	18.234	1774.197	-47.209	0.003	0.019	1.035	-53.365
2006	15.237	1774.788	-47.210	0.002	0.014	0.999	-53.120
2007	12.740	1781.030	-47.197	0.003	0.010	1.072	-52.841
2008	10.661	1788.269	-47.192	0.008	0.007	1.008	-53.217
2009	8.928	1792.437	-47.243	-0.000	0.002	1.037	-53.957
2010	7.487	1796.765	-47.308	-0.017	-0.002	0.997	-53.650
2011	6.267	1803.217	-47.343	0.014	0.005	1.069	-53.409
2012	5.220	1809.193	-47.358	0.025	0.007	1.037	-53.319
2013	4.366	1814.453	-47.365	-0.010	-0.013	1.020	-53.426
2014	3.680	1823.334	-47.363	-0.012	-0.012	1.001	-53.161
