#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.410	1732.667	-47.354	0.001	0.004	0.998	-53.376
1993	128.295	1738.146	-47.356	-0.011	-0.002	1.010	-53.185
1994	117.377	1744.302	-47.311	0.007	0.003	1.021	-52.529
1995	105.283	1746.821	-47.279	0.010	0.005	1.018	-53.393
1996	92.237	1750.068	-47.289	-0.002	-0.001	1.006	-53.235
1997	78.491	1757.784	-47.246	-0.000	0.000	1.008	-52.375
1998	65.809	1765.557	-47.195	0.000	0.001	1.022	-52.967
1999	54.856	1770.679	-47.200	-0.001	0.001	1.027	-53.332
2000	45.664	1772.579	-47.206	0.001	0.001	1.020	-53.133
2001	37.982	1772.812	-47.202	0.000	0.001	1.015	-53.241
2002	31.625	1774.944	-47.207	-0.001	-0.000	1.017	-53.238
2003	26.356	1777.089	-47.193	0.000	0.001	1.018	-52.914
2004	21.957	1776.166	-47.187	0.001	0.002	1.015	-53.461
2005	18.328	1774.909	-47.205	0.001	0.001	1.012	-53.348
2006	15.342	1776.812	-47.211	0.000	0.000	1.012	-53.178
2007	12.871	1781.815	-47.199	0.000	0.000	1.015	-52.951
2008	10.803	1787.817	-47.193	0.000	-0.000	1.019	-53.210
2009	9.055	1793.918	-47.243	-0.001	-0.000	1.031	-53.874
2010	7.569	1800.331	-47.308	-0.001	-0.000	1.047	-53.546
2011	6.304	1805.786	-47.340	0.001	0.000	1.056	-53.431
2012	5.237	1809.711	-47.355	0.002	0.000	1.056	-53.345
2013	4.359	1815.519	-47.367	-0.001	-0.001	1.052	-53.366
2014	3.640	1823.959	-47.367	-0.001	-0.001	1.048	-53.101
