#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.391	1732.870	-47.359	-0.001	0.009	0.999	-53.430
1993	128.299	1737.830	-47.357	-0.030	-0.006	1.008	-53.100
1994	117.443	1744.085	-47.308	0.023	0.007	1.018	-52.542
1995	105.253	1747.187	-47.277	0.028	0.012	1.013	-53.398
1996	92.208	1750.519	-47.289	-0.005	-0.003	1.004	-53.266
1997	78.518	1757.457	-47.250	-0.000	0.000	1.011	-52.453
1998	65.807	1764.945	-47.200	0.000	0.003	1.028	-52.907
1999	54.849	1770.857	-47.200	-0.002	0.002	1.031	-53.258
2000	45.669	1773.118	-47.205	0.003	0.005	1.020	-53.166
2001	37.977	1772.809	-47.200	0.001	0.003	1.015	-53.219
2002	31.623	1774.687	-47.202	-0.003	0.000	1.019	-53.191
2003	26.361	1777.072	-47.189	0.001	0.004	1.020	-52.968
2004	21.961	1776.192	-47.190	0.004	0.007	1.016	-53.500
2005	18.329	1774.735	-47.210	0.002	0.004	1.013	-53.360
2006	15.340	1776.619	-47.213	0.001	0.002	1.014	-53.110
2007	12.868	1781.978	-47.195	0.001	0.000	1.018	-52.898
2008	10.801	1788.311	-47.190	0.000	-0.001	1.020	-53.237
2009	9.054	1794.261	-47.243	-0.002	-0.001	1.030	-53.919
2010	7.570	1800.210	-47.313	-0.003	-0.000	1.044	-53.616
2011	6.306	1805.303	-47.346	0.003	0.001	1.055	-53.397
2012	5.238	1809.163	-47.353	0.005	0.001	1.057	-53.263
2013	4.359	1815.383	-47.362	-0.002	-0.003	1.056	-53.354
2014	3.640	1824.601	-47.365	-0.002	-0.002	1.054	-53.126
