#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.363	1749.395	-47.329	0.007	0.017	1.000	-53.000
1993	128.246	1751.886	-47.293	-0.048	-0.009	1.000	-53.000
1994	117.526	1753.917	-47.260	0.027	0.007	1.000	-53.000
1995	105.271	1753.099	-47.224	0.047	0.016	1.000	-53.000
1996	92.158	1754.528	-47.198	-0.005	-0.004	1.000	-53.000
1997	78.529	1759.183	-47.180	-0.002	-0.000	1.000	-53.000
1998	65.816	1761.596	-47.159	-0.002	0.005	1.000	-53.000
1999	54.843	1761.555	-47.135	-0.003	0.006	1.000	-53.000
2000	45.672	1759.723	-47.111	0.007	0.010	1.000	-53.000
2001	37.977	1757.048	-47.088	0.001	0.004	1.000	-53.000
2002	31.622	1756.840	-47.073	-0.007	-0.002	1.000	-53.000
2003	26.361	1757.120	-47.060	-0.000	0.007	1.000	-53.000
2004	21.959	1754.978	-47.044	0.007	0.015	1.000	-53.000
2005	18.332	1753.330	-47.031	0.007	0.008	1.000	-53.000
2006	15.343	1754.897	-47.026	0.004	0.003	1.000	-53.000
2007	12.866	1758.966	-47.027	0.000	-0.001	1.000	-53.000
2008	10.797	1763.641	-47.027	-0.002	-0.002	1.000	-53.000
2009	9.053	1767.312	-47.025	-0.005	-0.001	1.000	-53.000
2010	7.571	1768.924	-47.019	-0.006	0.001	1.000	-53.000
2011	6.306	1767.683	-47.008	0.008	0.004	1.000	-53.000
2012	5.238	1764.724	-46.994	0.010	0.003	1.000	-53.000
2013	4.359	1764.672	-46.989	-0.004	-0.006	1.000	-53.000
2014	3.640	1768.173	-46.991	-0.005	-0.005	1.000	-53.000
