#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.397	1733.673	-47.357	0.000	0.000	0.973	-53.508
1993	128.358	1736.398	-47.355	-0.000	-0.000	1.002	-53.167
1994	117.368	1743.637	-47.309	0.000	0.000	1.041	-52.463
1995	105.259	1748.612	-47.279	0.000	0.000	1.034	-53.354
1996	92.241	1751.202	-47.288	-0.000	-0.000	0.989	-53.293
1997	78.497	1756.081	-47.246	0.000	0.000	0.989	-52.496
1998	65.813	1764.255	-47.198	0.000	0.000	1.036	-52.879
1999	54.851	1772.126	-47.201	-0.000	0.000	1.038	-53.241
2000	45.662	1773.845	-47.205	0.000	0.000	1.006	-53.215
2001	37.985	1771.914	-47.201	0.000	0.000	1.004	-53.288
2002	31.623	1773.901	-47.205	-0.000	0.000	1.023	-53.184
2003	26.350	1777.399	-47.191	0.000	0.000	1.022	-52.903
2004	21.958	1777.013	-47.187	0.000	0.000	1.012	-53.474
2005	18.335	1774.934	-47.206	0.000	0.000	1.003	-53.419
2006	15.347	1775.875	-47.213	0.000	0.000	1.011	-53.183
2007	12.869	1781.648	-47.201	0.000	0.000	1.026	-52.897
2008	10.797	1788.609	-47.193	0.000	-0.000	1.020	-53.178
2009	9.050	1794.274	-47.238	-0.000	-0.000	1.026	-53.861
2010	7.567	1800.206	-47.305	-0.000	-0.000	1.045	-53.616
2011	6.304	1805.635	-47.343	0.000	0.000	1.055	-53.460
2012	5.238	1809.301	-47.357	0.000	0.000	1.052	-53.324
2013	4.360	1815.155	-47.366	-0.000	-0.000	1.055	-53.330
2014	3.640	1824.514	-47.366	-0.000	-0.000	1.056	-53.094
