#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	135.797	1733.249	-47.357	0.107	0.062	1.015	-53.243
1993	127.836	1737.576	-47.345	-0.030	-0.038	1.020	-53.066
1994	117.353	1742.852	-47.311	0.111	0.024	1.029	-52.789
1995	105.400	1747.956	-47.284	0.109	0.052	1.024	-53.122
1996	92.129	1752.216	-47.274	-0.005	0.012	1.027	-53.084
1997	78.515	1756.022	-47.238	-0.015	0.029	1.025	-52.687
1998	65.759	1764.130	-47.209	-0.025	0.055	1.073	-52.881
1999	54.744	1772.163	-47.209	-0.017	0.083	1.035	-53.158
2000	45.616	1773.080	-47.205	0.014	0.114	1.010	-53.183
2001	38.011	1771.888	-47.197	0.015	0.086	1.014	-53.190
2002	31.683	1774.653	-47.200	0.011	0.089	1.048	-53.153
2003	26.393	1777.246	-47.197	0.026	0.107	1.017	-53.100
2004	22.001	1776.375	-47.193	0.046	0.112	1.016	-53.315
2005	18.399	1775.548	-47.201	0.042	0.064	1.017	-53.301
2006	15.390	1775.714	-47.199	0.028	0.024	1.025	-53.112
2007	12.870	1781.626	-47.197	0.013	-0.003	1.074	-52.976
2008	10.770	1788.489	-47.205	0.003	-0.017	1.043	-53.215
2009	9.012	1794.079	-47.245	-0.004	-0.022	1.068	-53.608
2010	7.533	1800.326	-47.301	-0.003	-0.021	1.057	-53.561
2011	6.287	1805.386	-47.336	0.021	-0.017	1.063	-53.419
2012	5.239	1809.393	-47.348	0.008	-0.022	1.052	-53.291
2013	4.364	1815.608	-47.355	-0.028	-0.033	1.088	-53.232
2014	3.631	1824.522	-47.357	-0.017	-0.017	1.087	-53.078
