#
# Year	MCF_opt(ppt)	CH4_opt(ppb)	d13C_opt(perm)	fsl_opt	            fst_opt	fch4_opt	ed13C_opt(perm)
1992	134.369	1733.611	-47.357	0.007	0.017	0.994	-53.442
1993	128.237	1736.898	-47.356	-0.049	-0.009	0.997	-53.183
1994	117.528	1743.139	-47.310	0.028	0.007	1.027	-52.521
1995	105.271	1748.098	-47.279	0.047	0.017	1.019	-53.327
1996	92.156	1752.013	-47.288	-0.005	-0.004	1.001	-53.285
1997	78.531	1755.715	-47.242	-0.001	0.000	0.987	-52.462
1998	65.816	1764.517	-47.198	-0.002	0.005	1.073	-52.869
1999	54.842	1772.426	-47.203	-0.003	0.006	1.013	-53.289
2000	45.672	1773.084	-47.205	0.007	0.010	1.025	-53.183
2001	37.977	1771.844	-47.199	0.001	0.005	1.006	-53.215
2002	31.622	1774.410	-47.203	-0.007	-0.001	1.039	-53.182
2003	26.360	1777.719	-47.193	0.000	0.007	1.013	-52.970
2004	21.959	1776.273	-47.188	0.007	0.015	1.018	-53.436
2005	18.333	1775.530	-47.209	0.006	0.008	1.016	-53.397
2006	15.343	1775.233	-47.209	0.004	0.003	0.992	-53.154
2007	12.866	1781.888	-47.198	0.001	-0.001	1.056	-52.870
2008	10.798	1788.824	-47.191	-0.002	-0.002	0.993	-53.223
2009	9.054	1794.351	-47.242	-0.005	-0.002	1.053	-53.900
2010	7.570	1800.181	-47.310	-0.006	0.000	1.022	-53.603
2011	6.306	1805.254	-47.344	0.008	0.004	1.076	-53.417
2012	5.238	1809.349	-47.355	0.010	0.003	1.038	-53.298
2013	4.359	1815.201	-47.364	-0.004	-0.006	1.070	-53.334
2014	3.640	1824.631	-47.366	-0.005	-0.005	1.047	-53.102
