# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.001; fsl: 0.001; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	1.455	3.000	0.030
1993	1.315	3.000	0.030
1994	0.863	3.000	0.030
1995	0.602	3.000	0.020
1996	0.442	3.000	0.030
1997	0.362	3.000	0.060
1998	0.299	3.000	0.030
1999	0.303	3.000	0.040
2000	0.298	3.000	0.030
2001	0.262	3.000	0.040
2002	0.244	3.000	0.030
2003	0.217	3.000	0.040
2004	0.213	3.000	0.030
2005	0.204	3.000	0.030
2006	0.171	3.000	0.040
2007	0.161	3.000	0.030
2008	0.161	3.000	0.030
2009	0.145	3.000	0.030
2010	0.118	3.000	0.040
2011	0.086	3.000	0.030
2012	0.056	3.000	0.040
2013	0.033	3.000	0.040
2014	0.018	3.000	0.040
