# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 74822500.000 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.000; fsl: 0.000; fch4: 0.006; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.291	55000.000	3000.000
1993	0.263	42000.000	3000.000
1994	0.173	51000.000	3000.000
1995	0.120	43000.000	2000.000
1996	0.088	60000.000	3000.000
1997	0.072	36000.000	6000.000
1998	0.060	70000.000	3000.000
1999	0.061	55000.000	4000.000
2000	0.060	67000.000	3000.000
2001	0.052	56000.000	4000.000
2002	0.049	47000.000	3000.000
2003	0.043	56000.000	4000.000
2004	0.043	56000.000	3000.000
2005	0.041	64000.000	3000.000
2006	0.034	47000.000	4000.000
2007	0.032	57000.000	3000.000
2008	0.032	55000.000	3000.000
2009	0.029	64000.000	3000.000
2010	0.024	78000.000	4000.000
2011	0.017	70000.000	3000.000
2012	0.011	50000.000	4000.000
2013	0.007	62000.000	4000.000
2014	0.004	51000.000	4000.000
