# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 74822500.000 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.022; fsl: 0.022; fch4: 0.000; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.291	0.550	0.030
1993	0.263	0.420	0.030
1994	0.173	0.510	0.030
1995	0.120	0.430	0.020
1996	0.088	0.600	0.030
1997	0.072	0.360	0.060
1998	0.060	0.700	0.030
1999	0.061	0.550	0.040
2000	0.060	0.670	0.030
2001	0.052	0.560	0.040
2002	0.049	0.470	0.030
2003	0.043	0.560	0.040
2004	0.043	0.560	0.030
2005	0.041	0.640	0.030
2006	0.034	0.470	0.040
2007	0.032	0.570	0.030
2008	0.032	0.550	0.030
2009	0.029	0.640	0.030
2010	0.024	0.780	0.040
2011	0.017	0.700	0.030
2012	0.011	0.500	0.040
2013	0.007	0.620	0.040
2014	0.004	0.510	0.040
