# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 74822500.000 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.000; fsl: 0.000; fch4: 0.000; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 0.10 yr; in CH4 emissions: 2.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.291	55.000	3.000
1993	0.263	42.000	3.000
1994	0.173	51.000	3.000
1995	0.120	43.000	2.000
1996	0.088	60.000	3.000
1997	0.072	36.000	6.000
1998	0.060	70.000	3.000
1999	0.061	55.000	4.000
2000	0.060	67.000	3.000
2001	0.052	56.000	4.000
2002	0.049	47.000	3.000
2003	0.043	56.000	4.000
2004	0.043	56.000	3.000
2005	0.041	64.000	3.000
2006	0.034	47.000	4.000
2007	0.032	57.000	3.000
2008	0.032	55.000	3.000
2009	0.029	64.000	3.000
2010	0.024	78.000	4.000
2011	0.017	70.000	3.000
2012	0.011	50.000	4.000
2013	0.007	62.000	4.000
2014	0.004	51.000	4.000
