# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 74822500.000 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.000; fsl: 0.000; fch4: 0.006; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 0.10 yr; in CH4 emissions: 2.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	29.100	0.550	0.030
1993	26.306	0.420	0.030
1994	17.255	0.510	0.030
1995	12.033	0.430	0.020
1996	8.848	0.600	0.030
1997	7.248	0.360	0.060
1998	5.986	0.700	0.030
1999	6.069	0.550	0.040
2000	5.957	0.670	0.030
2001	5.249	0.560	0.040
2002	4.875	0.470	0.030
2003	4.331	0.560	0.040
2004	4.265	0.560	0.030
2005	4.079	0.640	0.030
2006	3.422	0.470	0.040
2007	3.227	0.570	0.030
2008	3.227	0.550	0.030
2009	2.905	0.640	0.030
2010	2.353	0.780	0.040
2011	1.715	0.700	0.030
2012	1.125	0.500	0.040
2013	0.665	0.620	0.040
2014	0.353	0.510	0.040
