# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 73685225.980 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.000; fsl: 0.000; fch4: 0.022; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 1.00 yr; in CH4 emissions: 10.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	29.100	3.000	0.030
1993	26.306	3.000	0.030
1994	17.255	3.000	0.030
1995	12.033	3.000	0.020
1996	8.848	3.000	0.030
1997	7.248	3.000	0.060
1998	5.986	3.000	0.030
1999	6.069	3.000	0.040
2000	5.957	3.000	0.030
2001	5.249	3.000	0.040
2002	4.875	3.000	0.030
2003	4.331	3.000	0.040
2004	4.265	3.000	0.030
2005	4.079	3.000	0.030
2006	3.422	3.000	0.040
2007	3.227	3.000	0.030
2008	3.227	3.000	0.030
2009	2.905	3.000	0.030
2010	2.353	3.000	0.040
2011	1.715	3.000	0.030
2012	1.125	3.000	0.040
2013	0.665	3.000	0.040
2014	0.353	3.000	0.040
