# The settings used in the experiment
# Prior settings:
# Initial errors:
            MCF: 342225.000 ppt; CH4 74822500.000 ppb; d13C 0.000 permil
# The other errors:
            foh: 0.000; fst: 0.000; fsl: 0.000; fch4: 0.006; ed13c_e: 0.000 permil
# Correlation lengths:
            In OH: 0.10 yr; in CH4 emissions: 2.00 yr
# Observation errors:
# Year	MCF(ppt)	CH4(ppb)	(d13C(permil)
1992	0.029	0.055	0.003
1993	0.026	0.042	0.003
1994	0.017	0.051	0.003
1995	0.012	0.043	0.002
1996	0.009	0.060	0.003
1997	0.007	0.036	0.006
1998	0.006	0.070	0.003
1999	0.006	0.055	0.004
2000	0.006	0.067	0.003
2001	0.005	0.056	0.004
2002	0.005	0.047	0.003
2003	0.004	0.056	0.004
2004	0.004	0.056	0.003
2005	0.004	0.064	0.003
2006	0.003	0.047	0.004
2007	0.003	0.057	0.003
2008	0.003	0.055	0.003
2009	0.003	0.064	0.003
2010	0.002	0.078	0.004
2011	0.002	0.070	0.003
2012	0.001	0.050	0.004
2013	0.001	0.062	0.004
2014	0.000	0.051	0.004
