C01 TITLE: CH4 monthly mean data 
C02 FILE NAME: cmo445n00.agage.as.cn.ch4.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 102
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Cape Meares 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: United States of America
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 45.47
C13 LONGITUDE: -123.97
C14 ALTITUDE: 30
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH4
C19 COVERING PERIOD: 1983-09-01 1989-06-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppb
C22 MEASUREMENT METHOD: Gas Chromatography (FID)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: 
C25 MEASUREMENT SCALE: Tohoku University Standard
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME        CH4    ND      SD     F CS       REM
1983-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1983-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1983-11-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1983-12-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-02-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-03-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-04-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-05-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-06-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-11-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-12-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-02-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-03-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-04-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-05-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-06-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-11-01 00:00 9999-99-99 99:99    1727.65    58   20.36 -9999  0 -99999999
1985-12-01 00:00 9999-99-99 99:99    1725.37   165   21.58 -9999  0 -99999999
1986-01-01 00:00 9999-99-99 99:99    1722.85   211   18.04 -9999  0 -99999999
1986-02-01 00:00 9999-99-99 99:99    1726.12   307   16.75 -9999  0 -99999999
1986-03-01 00:00 9999-99-99 99:99    1726.92   241   15.83 -9999  0 -99999999
1986-04-01 00:00 9999-99-99 99:99    1746.15   223   15.47 -9999  0 -99999999
1986-05-01 00:00 9999-99-99 99:99    1740.28   203   13.20 -9999  0 -99999999
1986-06-01 00:00 9999-99-99 99:99    1721.25   224   10.71 -9999  0 -99999999
1986-07-01 00:00 9999-99-99 99:99    1709.64   316   14.61 -9999  0 -99999999
1986-08-01 00:00 9999-99-99 99:99    1701.67   303   23.25 -9999  0 -99999999
1986-09-01 00:00 9999-99-99 99:99    1742.44   248   18.42 -9999  0 -99999999
1986-10-01 00:00 9999-99-99 99:99    1746.77   307   20.77 -9999  0 -99999999
1986-11-01 00:00 9999-99-99 99:99    1735.81   204   16.67 -9999  0 -99999999
1986-12-01 00:00 9999-99-99 99:99    1750.36   322   13.19 -9999  0 -99999999
1987-01-01 00:00 9999-99-99 99:99    1751.35   159   10.08 -9999  0 -99999999
1987-02-01 00:00 9999-99-99 99:99    1743.38   205   15.66 -9999  0 -99999999
1987-03-01 00:00 9999-99-99 99:99    1740.66   307   10.35 -9999  0 -99999999
1987-04-01 00:00 9999-99-99 99:99    1752.96   233   13.30 -9999  0 -99999999
1987-05-01 00:00 9999-99-99 99:99    1741.78   351   16.75 -9999  0 -99999999
1987-06-01 00:00 9999-99-99 99:99    1737.13   299   19.56 -9999  0 -99999999
1987-07-01 00:00 9999-99-99 99:99    1713.44   301   24.85 -9999  0 -99999999
1987-08-01 00:00 9999-99-99 99:99    1717.33   341   18.00 -9999  0 -99999999
1987-09-01 00:00 9999-99-99 99:99    1736.13   265   20.25 -9999  0 -99999999
1987-10-01 00:00 9999-99-99 99:99    1756.97   316   16.71 -9999  0 -99999999
1987-11-01 00:00 9999-99-99 99:99    1761.82   221   13.07 -9999  0 -99999999
1987-12-01 00:00 9999-99-99 99:99    1769.11   159    9.65 -9999  0 -99999999
1988-01-01 00:00 9999-99-99 99:99    1765.36   283   10.96 -9999  0 -99999999
1988-02-01 00:00 9999-99-99 99:99    1759.56   247   16.43 -9999  0 -99999999
1988-03-01 00:00 9999-99-99 99:99    1766.60   321   15.42 -9999  0 -99999999
1988-04-01 00:00 9999-99-99 99:99    1766.72   309   14.79 -9999  0 -99999999
1988-05-01 00:00 9999-99-99 99:99    1759.06   122   19.03 -9999  0 -99999999
1988-06-01 00:00 9999-99-99 99:99    1746.57   337   15.32 -9999  0 -99999999
1988-07-01 00:00 9999-99-99 99:99    1731.43   199   12.71 -9999  0 -99999999
1988-08-01 00:00 9999-99-99 99:99    1738.65   281   17.52 -9999  0 -99999999
1988-09-01 00:00 9999-99-99 99:99    1755.27   295   16.67 -9999  0 -99999999
1988-10-01 00:00 9999-99-99 99:99    1757.69   314   19.53 -9999  0 -99999999
1988-11-01 00:00 9999-99-99 99:99    1770.01   265   16.65 -9999  0 -99999999
1988-12-01 00:00 9999-99-99 99:99    1776.53   333   16.38 -9999  0 -99999999
1989-01-01 00:00 9999-99-99 99:99    1775.19   367   16.54 -9999  0 -99999999
1989-02-01 00:00 9999-99-99 99:99    1769.62   127   17.40 -9999  0 -99999999
1989-03-01 00:00 9999-99-99 99:99    1769.56   259   12.64 -9999  0 -99999999
1989-04-01 00:00 9999-99-99 99:99    1773.27   278   16.47 -9999  0 -99999999
1989-05-01 00:00 9999-99-99 99:99    1768.33   368   12.16 -9999  0 -99999999
1989-06-01 00:00 9999-99-99 99:99    1757.62   338   10.30 -9999  0 -99999999
