C01 TITLE: CH3CCl3 monthly mean data 
C02 FILE NAME: mhd653n00.agage.as.cn.ch3ccl3.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 122
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Mace Head 
C08 STATION CATEGORY: Global
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: Ireland
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 53.33
C13 LONGITUDE: -9.9
C14 ALTITUDE: 25
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH3CCl3
C19 COVERING PERIOD: 1987-01-01 1994-06-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppt
C22 MEASUREMENT METHOD: Gas Chromatography (ECD)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: SIO-1998 scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME    CH3CCl3    ND      SD     F CS       REM
1987-01-01 00:00 9999-99-99 99:99     127.26    18    2.03 -9999  0 -99999999
1987-02-01 00:00 9999-99-99 99:99     127.15    51    1.38 -9999  0 -99999999
1987-03-01 00:00 9999-99-99 99:99     126.08   195    3.68 -9999  0 -99999999
1987-04-01 00:00 9999-99-99 99:99     128.63   196    1.88 -9999  0 -99999999
1987-05-01 00:00 9999-99-99 99:99     132.37   238    2.64 -9999  0 -99999999
1987-06-01 00:00 9999-99-99 99:99     134.51   336    2.47 -9999  0 -99999999
1987-07-01 00:00 9999-99-99 99:99     132.60   297    2.64 -9999  0 -99999999
1987-08-01 00:00 9999-99-99 99:99     130.18   306    1.73 -9999  0 -99999999
1987-09-01 00:00 9999-99-99 99:99     129.99   311    1.54 -9999  0 -99999999
1987-10-01 00:00 9999-99-99 99:99     133.73   206    1.73 -9999  0 -99999999
1987-11-01 00:00 9999-99-99 99:99     136.06   215    3.15 -9999  0 -99999999
1987-12-01 00:00 9999-99-99 99:99     136.02   151    3.35 -9999  0 -99999999
1988-01-01 00:00 9999-99-99 99:99     136.35   209    3.34 -9999  0 -99999999
1988-02-01 00:00 9999-99-99 99:99     138.13   273    3.25 -9999  0 -99999999
1988-03-01 00:00 9999-99-99 99:99     138.12   326    4.50 -9999  0 -99999999
1988-04-01 00:00 9999-99-99 99:99     141.71   185    3.13 -9999  0 -99999999
1988-05-01 00:00 9999-99-99 99:99     143.60   237    2.30 -9999  0 -99999999
1988-06-01 00:00 9999-99-99 99:99     142.96   202    1.95 -9999  0 -99999999
1988-07-01 00:00 9999-99-99 99:99     142.62   252    1.89 -9999  0 -99999999
1988-08-01 00:00 9999-99-99 99:99     137.26    79    2.20 -9999  0 -99999999
1988-09-01 00:00 9999-99-99 99:99     137.73   325    2.59 -9999  0 -99999999
1988-10-01 00:00 9999-99-99 99:99     142.57   169    2.99 -9999  0 -99999999
1988-11-01 00:00 9999-99-99 99:99     142.58   148    2.89 -9999  0 -99999999
1988-12-01 00:00 9999-99-99 99:99     141.81   281    3.15 -9999  0 -99999999
1989-01-01 00:00 9999-99-99 99:99     139.47   306    3.18 -9999  0 -99999999
1989-02-01 00:00 9999-99-99 99:99     141.73   298    2.86 -9999  0 -99999999
1989-03-01 00:00 9999-99-99 99:99     141.01    88    3.21 -9999  0 -99999999
1989-04-01 00:00 9999-99-99 99:99     146.50   222    1.96 -9999  0 -99999999
1989-05-01 00:00 9999-99-99 99:99     146.29   234    2.18 -9999  0 -99999999
1989-06-01 00:00 9999-99-99 99:99     146.02   271    1.70 -9999  0 -99999999
1989-07-01 00:00 9999-99-99 99:99     144.36   205    2.25 -9999  0 -99999999
1989-08-01 00:00 9999-99-99 99:99     142.76   325    2.23 -9999  0 -99999999
1989-09-01 00:00 9999-99-99 99:99     143.32    40    1.01 -9999  0 -99999999
1989-10-01 00:00 9999-99-99 99:99     144.07   129    1.66 -9999  0 -99999999
1989-11-01 00:00 9999-99-99 99:99     146.49   138    3.36 -9999  0 -99999999
1989-12-01 00:00 9999-99-99 99:99     149.04    87    2.59 -9999  0 -99999999
1990-01-01 00:00 9999-99-99 99:99     146.88   238    3.77 -9999  0 -99999999
1990-02-01 00:00 9999-99-99 99:99     148.45   168    2.59 -9999  0 -99999999
1990-03-01 00:00 9999-99-99 99:99     149.07   202    3.64 -9999  0 -99999999
1990-04-01 00:00 9999-99-99 99:99     151.83   256    3.26 -9999  0 -99999999
1990-05-01 00:00 9999-99-99 99:99     155.66   191    3.58 -9999  0 -99999999
1990-06-01 00:00 9999-99-99 99:99     156.01   313    3.08 -9999  0 -99999999
1990-07-01 00:00 9999-99-99 99:99     149.08   236    2.64 -9999  0 -99999999
1990-08-01 00:00 9999-99-99 99:99     149.60   260    3.17 -9999  0 -99999999
1990-09-01 00:00 9999-99-99 99:99     150.45   257    1.97 -9999  0 -99999999
1990-10-01 00:00 9999-99-99 99:99     151.53   232    2.36 -9999  0 -99999999
1990-11-01 00:00 9999-99-99 99:99     154.60   168    2.33 -9999  0 -99999999
1990-12-01 00:00 9999-99-99 99:99     154.77    84    2.23 -9999  0 -99999999
1991-01-01 00:00 9999-99-99 99:99     150.67   134    2.32 -9999  0 -99999999
1991-02-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-03-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-04-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-05-01 00:00 9999-99-99 99:99     153.02   122    2.70 -9999  0 -99999999
1991-06-01 00:00 9999-99-99 99:99     154.53   242    2.22 -9999  0 -99999999
1991-07-01 00:00 9999-99-99 99:99     151.91   210    3.13 -9999  0 -99999999
1991-08-01 00:00 9999-99-99 99:99     150.88   233    3.57 -9999  0 -99999999
1991-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-10-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-11-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1991-12-01 00:00 9999-99-99 99:99     153.32    82    5.19 -9999  0 -99999999
1992-01-01 00:00 9999-99-99 99:99     151.75    21    2.74 -9999  0 -99999999
1992-02-01 00:00 9999-99-99 99:99     151.64   311    3.19 -9999  0 -99999999
1992-03-01 00:00 9999-99-99 99:99     151.25   327    3.74 -9999  0 -99999999
1992-04-01 00:00 9999-99-99 99:99     152.57   290    3.16 -9999  0 -99999999
1992-05-01 00:00 9999-99-99 99:99     152.60   221    2.50 -9999  0 -99999999
1992-06-01 00:00 9999-99-99 99:99     152.26   229    2.74 -9999  0 -99999999
1992-07-01 00:00 9999-99-99 99:99     150.20   282    2.21 -9999  0 -99999999
1992-08-01 00:00 9999-99-99 99:99     149.20   342    1.99 -9999  0 -99999999
1992-09-01 00:00 9999-99-99 99:99     147.70   302    2.90 -9999  0 -99999999
1992-10-01 00:00 9999-99-99 99:99     149.00   297    3.04 -9999  0 -99999999
1992-11-01 00:00 9999-99-99 99:99     147.74   321    3.57 -9999  0 -99999999
1992-12-01 00:00 9999-99-99 99:99     147.23   243    4.03 -9999  0 -99999999
1993-01-01 00:00 9999-99-99 99:99     146.26   125    2.03 -9999  0 -99999999
1993-02-01 00:00 9999-99-99 99:99     144.37   120    1.99 -9999  0 -99999999
1993-03-01 00:00 9999-99-99 99:99     145.61   191    2.25 -9999  0 -99999999
1993-04-01 00:00 9999-99-99 99:99     145.83   250    2.86 -9999  0 -99999999
1993-05-01 00:00 9999-99-99 99:99     145.86   245    3.17 -9999  0 -99999999
1993-06-01 00:00 9999-99-99 99:99     142.06   316    3.29 -9999  0 -99999999
1993-07-01 00:00 9999-99-99 99:99     138.05   338    2.88 -9999  0 -99999999
1993-08-01 00:00 9999-99-99 99:99     135.39   326    2.27 -9999  0 -99999999
1993-09-01 00:00 9999-99-99 99:99     133.83   240    2.02 -9999  0 -99999999
1993-10-01 00:00 9999-99-99 99:99     134.67   119    1.98 -9999  0 -99999999
1993-11-01 00:00 9999-99-99 99:99     130.52    37    1.72 -9999  0 -99999999
1993-12-01 00:00 9999-99-99 99:99     131.15   274    1.98 -9999  0 -99999999
1994-01-01 00:00 9999-99-99 99:99     130.43   303    2.60 -9999  0 -99999999
1994-02-01 00:00 9999-99-99 99:99     129.97   147    2.56 -9999  0 -99999999
1994-03-01 00:00 9999-99-99 99:99     128.60   218    2.36 -9999  0 -99999999
1994-04-01 00:00 9999-99-99 99:99     129.00   167    2.24 -9999  0 -99999999
1994-05-01 00:00 9999-99-99 99:99     129.51   117    1.91 -9999  0 -99999999
1994-06-01 00:00 9999-99-99 99:99     125.21   195    1.55 -9999  0 -99999999
