# Global yearly mean methane concentrations from NOAA data
# Year	     CH4(ppb)         Error (ppb)
  1984       1644.57          0.67
  1985       1657.30          0.54
  1986       1669.79          0.73
  1987       1682.05          0.54
  1988       1693.14          0.63
  1989       1704.10          0.56
  1990       1714.00          0.65
  1991       1724.98          0.64
  1992       1735.34          0.55
  1993       1736.38          0.42
  1994       1741.85          0.51
  1995       1748.73          0.43
  1996       1751.02          0.60
  1997       1754.33          0.36
  1998       1765.33          0.70
  1999       1771.98          0.55
  2000       1773.02          0.67
  2001       1771.03          0.56
  2002       1772.60          0.47
  2003       1776.92          0.56
  2004       1776.90          0.56
  2005       1773.95          0.64
  2006       1774.69          0.47
  2007       1781.16          0.57
  2008       1786.75          0.55
  2009       1793.28          0.64
  2010       1798.62          0.78
  2011       1803.01          0.70
  2012       1808.20          0.50
  2013       1813.30          0.62
  2014       1822.48          0.51
  2015       1833.99          0.51
