# Global yearly mean MCF concentrations from AGAGE data
# Year	MCF(ppt)
1979	76.908
1980	84.741
1981	89.771
1982	94.542
1983	98.332
1984	103.060
1985	107.198
1986	110.193
1987	113.603
1988	119.499
1989	123.612
1990	128.275
1991	129.160
1992	130.380
1993	125.449
1994	115.016
1995	103.166
1996	89.855
1997	76.221
1998	64.194
1999	53.790
2000	45.100
2001	37.682
2002	31.294
2003	26.206
2004	21.809
2005	18.231
2006	15.226
2007	12.736
2008	10.669
2009	8.909
2010	7.460
2011	6.315
2012	5.230
2013	4.335
2014	3.688
