C01 TITLE: CH3CCl3 monthly mean data 
C02 FILE NAME: cmo445n00.agage.as.cn.ch3ccl3.ale.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 88
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Cape Meares 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: United States of America
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 45.47
C13 LONGITUDE: -123.97
C14 ALTITUDE: 30
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH3CCl3
C19 COVERING PERIOD: 1979-12-01 1984-07-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppt
C22 MEASUREMENT METHOD: Gas Chromatography (ECD)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: 
C25 MEASUREMENT SCALE: SIO-1998 scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME    CH3CCl3    ND      SD     F CS       REM
1979-12-01 00:00 9999-99-99 99:99     100.85    46    4.40 -9999  0 -99999999
1980-01-01 00:00 9999-99-99 99:99     104.33    71    3.96 -9999  0 -99999999
1980-02-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1980-03-01 00:00 9999-99-99 99:99     101.21    20    1.60 -9999  0 -99999999
1980-04-01 00:00 9999-99-99 99:99     102.83    72    1.37 -9999  0 -99999999
1980-05-01 00:00 9999-99-99 99:99     103.18    93    1.48 -9999  0 -99999999
1980-06-01 00:00 9999-99-99 99:99     101.39   114    1.94 -9999  0 -99999999
1980-07-01 00:00 9999-99-99 99:99      98.69    85    2.37 -9999  0 -99999999
1980-08-01 00:00 9999-99-99 99:99      99.30    81    1.99 -9999  0 -99999999
1980-09-01 00:00 9999-99-99 99:99     100.73    89    2.92 -9999  0 -99999999
1980-10-01 00:00 9999-99-99 99:99     105.89    91    3.50 -9999  0 -99999999
1980-11-01 00:00 9999-99-99 99:99     104.78   100    2.82 -9999  0 -99999999
1980-12-01 00:00 9999-99-99 99:99     104.64   104    3.62 -9999  0 -99999999
1981-01-01 00:00 9999-99-99 99:99     104.68   100    2.57 -9999  0 -99999999
1981-02-01 00:00 9999-99-99 99:99     104.77    69    3.00 -9999  0 -99999999
1981-03-01 00:00 9999-99-99 99:99     104.73   115    2.00 -9999  0 -99999999
1981-04-01 00:00 9999-99-99 99:99     105.40   112    1.84 -9999  0 -99999999
1981-05-01 00:00 9999-99-99 99:99     106.46   116    2.51 -9999  0 -99999999
1981-06-01 00:00 9999-99-99 99:99     106.63   108    1.86 -9999  0 -99999999
1981-07-01 00:00 9999-99-99 99:99     103.23   116    2.88 -9999  0 -99999999
1981-08-01 00:00 9999-99-99 99:99     103.07   107    2.47 -9999  0 -99999999
1981-09-01 00:00 9999-99-99 99:99     105.88    95    2.71 -9999  0 -99999999
1981-10-01 00:00 9999-99-99 99:99     107.14    78    2.68 -9999  0 -99999999
1981-11-01 00:00 9999-99-99 99:99     109.75    68    1.97 -9999  0 -99999999
1981-12-01 00:00 9999-99-99 99:99     110.82    95    1.95 -9999  0 -99999999
1982-01-01 00:00 9999-99-99 99:99     109.98    87    1.20 -9999  0 -99999999
1982-02-01 00:00 9999-99-99 99:99     110.77    55    2.40 -9999  0 -99999999
1982-03-01 00:00 9999-99-99 99:99     111.68    97    2.08 -9999  0 -99999999
1982-04-01 00:00 9999-99-99 99:99     114.06    98    1.71 -9999  0 -99999999
1982-05-01 00:00 9999-99-99 99:99     113.49    52    1.43 -9999  0 -99999999
1982-06-01 00:00 9999-99-99 99:99     111.81   110    1.76 -9999  0 -99999999
1982-07-01 00:00 9999-99-99 99:99     110.51    90    2.27 -9999  0 -99999999
1982-08-01 00:00 9999-99-99 99:99     107.04   112    2.31 -9999  0 -99999999
1982-09-01 00:00 9999-99-99 99:99     108.10    84    3.90 -9999  0 -99999999
1982-10-01 00:00 9999-99-99 99:99     110.45    88    2.66 -9999  0 -99999999
1982-11-01 00:00 9999-99-99 99:99     111.06    66    1.88 -9999  0 -99999999
1982-12-01 00:00 9999-99-99 99:99     113.27    49    1.66 -9999  0 -99999999
1983-01-01 00:00 9999-99-99 99:99     111.42    85    2.27 -9999  0 -99999999
1983-02-01 00:00 9999-99-99 99:99     112.37    72    1.63 -9999  0 -99999999
1983-03-01 00:00 9999-99-99 99:99     114.50    67    1.72 -9999  0 -99999999
1983-04-01 00:00 9999-99-99 99:99     115.94    85    1.62 -9999  0 -99999999
1983-05-01 00:00 9999-99-99 99:99     115.63    91    1.87 -9999  0 -99999999
1983-06-01 00:00 9999-99-99 99:99     115.32   104    1.57 -9999  0 -99999999
1983-07-01 00:00 9999-99-99 99:99     113.95    88    1.42 -9999  0 -99999999
1983-08-01 00:00 9999-99-99 99:99     111.66    88    2.20 -9999  0 -99999999
1983-09-01 00:00 9999-99-99 99:99     112.48    78    2.01 -9999  0 -99999999
1983-10-01 00:00 9999-99-99 99:99     114.83    47    1.63 -9999  0 -99999999
1983-11-01 00:00 9999-99-99 99:99     117.54    81    1.72 -9999  0 -99999999
1983-12-01 00:00 9999-99-99 99:99     120.56    21    1.71 -9999  0 -99999999
1984-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1984-02-01 00:00 9999-99-99 99:99     120.83    70    1.35 -9999  0 -99999999
1984-03-01 00:00 9999-99-99 99:99     121.02    86    1.23 -9999  0 -99999999
1984-04-01 00:00 9999-99-99 99:99     122.48    90    1.07 -9999  0 -99999999
1984-05-01 00:00 9999-99-99 99:99     122.56    93    1.28 -9999  0 -99999999
1984-06-01 00:00 9999-99-99 99:99     122.46    94    1.59 -9999  0 -99999999
1984-07-01 00:00 9999-99-99 99:99     119.73   101    2.19 -9999  0 -99999999
