C01 TITLE: CH3CCl3 monthly mean data 
C02 FILE NAME: rpb413n00.agage.as.cn.ch3ccl3.gage.mo.dat 
C03 DATA FORMAT: Version 1.0
C04 TOTAL LINES: 163
C05 HEADER LINES: 32
C06 DATA VERSION: 200710
C07 STATION NAME: Ragged Point 
C08 STATION CATEGORY: Regional
C09 OBSERVATION CATEGORY: Air sampling observation at a stationary platform
C10 COUNTRY/TERITORY: Barbados
C11 CONTRIBUTOR: AGAGE
C12 LATITUDE: 13.17
C13 LONGITUDE: -59.43
C14 ALTITUDE: 45
C15 NUMBER OF SAMPLING HEIGHTS: 1
C16 SAMPLING HEIGHTS: 
C17 CONTACT POINT: cunnold@eas.gatech.edu
C18 PARAMETER: CH3CCl3
C19 COVERING PERIOD: 1985-08-01 1996-06-01
C20 TIME INTERVAL: monthly
C21 MEASUREMENT UNIT: ppt
C22 MEASUREMENT METHOD: Gas Chromatography (ECD)
C23 SAMPLING TYPE: continuous
C24 TIME ZONE: UTC
C25 MEASUREMENT SCALE: SIO-1998 scale
C26 CREDIT FOR USE: This is a formal notification for data users. "For scientific purposes, access to these data is unlimited
C27 and provided without charge. By their use you accept that an offer of co-authorship will be made through personal contact
C28 with the data providers or owners whenever substantial use is made of their data. In all cases, an acknowledgement
C29 must be made to the data providers or owners and the data centre when these data are used within a publication."
C30 COMMENT:
C31
C32   DATE  TIME       DATE  TIME    CH3CCl3    ND      SD     F CS       REM
1985-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-09-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1985-10-01 00:00 9999-99-99 99:99     112.96    36    1.39 -9999  0 -99999999
1985-11-01 00:00 9999-99-99 99:99     113.49   317    7.14 -9999  0 -99999999
1985-12-01 00:00 9999-99-99 99:99     118.23   330    3.96 -9999  0 -99999999
1986-01-01 00:00 9999-99-99 99:99     115.65   275    2.42 -9999  0 -99999999
1986-02-01 00:00 9999-99-99 99:99     116.35   218    2.85 -9999  0 -99999999
1986-03-01 00:00 9999-99-99 99:99     116.75   263    2.77 -9999  0 -99999999
1986-04-01 00:00 9999-99-99 99:99     117.37   342    1.88 -9999  0 -99999999
1986-05-01 00:00 9999-99-99 99:99     115.49   344    3.07 -9999  0 -99999999
1986-06-01 00:00 9999-99-99 99:99     118.26   279    2.58 -9999  0 -99999999
1986-07-01 00:00 9999-99-99 99:99     122.22   303    1.65 -9999  0 -99999999
1986-08-01 00:00 9999-99-99 99:99     119.63   317    3.59 -9999  0 -99999999
1986-09-01 00:00 9999-99-99 99:99     118.59   304    3.60 -9999  0 -99999999
1986-10-01 00:00 9999-99-99 99:99     115.39   323    5.91 -9999  0 -99999999
1986-11-01 00:00 9999-99-99 99:99     112.19   324    4.51 -9999  0 -99999999
1986-12-01 00:00 9999-99-99 99:99     116.37   238    3.60 -9999  0 -99999999
1987-01-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1987-02-01 00:00 9999-99-99 99:99     118.72    59    1.34 -9999  0 -99999999
1987-03-01 00:00 9999-99-99 99:99     119.85   160    1.82 -9999  0 -99999999
1987-04-01 00:00 9999-99-99 99:99     122.54   282    2.22 -9999  0 -99999999
1987-05-01 00:00 9999-99-99 99:99     122.83   262    2.71 -9999  0 -99999999
1987-06-01 00:00 9999-99-99 99:99     123.03    52    1.70 -9999  0 -99999999
1987-07-01 00:00 9999-99-99 99:99     124.46   299    3.64 -9999  0 -99999999
1987-08-01 00:00 9999-99-99 99:99     123.73   336    4.57 -9999  0 -99999999
1987-09-01 00:00 9999-99-99 99:99     120.84   320    5.54 -9999  0 -99999999
1987-10-01 00:00 9999-99-99 99:99     118.41   325    6.19 -9999  0 -99999999
1987-11-01 00:00 9999-99-99 99:99     118.29   231    5.22 -9999  0 -99999999
1987-12-01 00:00 9999-99-99 99:99     121.33   364    2.99 -9999  0 -99999999
1988-01-01 00:00 9999-99-99 99:99     124.44   332    2.25 -9999  0 -99999999
1988-02-01 00:00 9999-99-99 99:99     125.97   312    2.55 -9999  0 -99999999
1988-03-01 00:00 9999-99-99 99:99     126.37   257    3.13 -9999  0 -99999999
1988-04-01 00:00 9999-99-99 99:99     125.15   317    3.20 -9999  0 -99999999
1988-05-01 00:00 9999-99-99 99:99     128.48   349    2.85 -9999  0 -99999999
1988-06-01 00:00 9999-99-99 99:99     127.89   203    3.30 -9999  0 -99999999
1988-07-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-08-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1988-09-01 00:00 9999-99-99 99:99     125.37   320    5.36 -9999  0 -99999999
1988-10-01 00:00 9999-99-99 99:99     118.00    73    4.50 -9999  0 -99999999
1988-11-01 00:00 9999-99-99 99:99     125.92   310    5.20 -9999  0 -99999999
1988-12-01 00:00 9999-99-99 99:99     129.76   343    3.25 -9999  0 -99999999
1989-01-01 00:00 9999-99-99 99:99     128.80   343    2.72 -9999  0 -99999999
1989-02-01 00:00 9999-99-99 99:99     128.94   109    1.80 -9999  0 -99999999
1989-03-01 00:00 9999-99-99 99:99     129.94   205    3.09 -9999  0 -99999999
1989-04-01 00:00 9999-99-99 99:99     130.99   287    3.32 -9999  0 -99999999
1989-05-01 00:00 9999-99-99 99:99     131.43   300    2.40 -9999  0 -99999999
1989-06-01 00:00 9999-99-99 99:99     131.64   249    4.36 -9999  0 -99999999
1989-07-01 00:00 9999-99-99 99:99     133.84   304    3.41 -9999  0 -99999999
1989-08-01 00:00 9999-99-99 99:99     130.40   351    5.18 -9999  0 -99999999
1989-09-01 00:00 9999-99-99 99:99     125.79   313    6.53 -9999  0 -99999999
1989-10-01 00:00 9999-99-99 99:99     125.54   318    4.76 -9999  0 -99999999
1989-11-01 00:00 9999-99-99 99:99     130.72   278    3.56 -9999  0 -99999999
1989-12-01 00:00 9999-99-99 99:99     130.91   309    2.57 -9999  0 -99999999
1990-01-01 00:00 9999-99-99 99:99     134.87   328    2.55 -9999  0 -99999999
1990-02-01 00:00 9999-99-99 99:99     134.38   256    5.06 -9999  0 -99999999
1990-03-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1990-04-01 00:00 9999-99-99 99:99     134.54   288    2.42 -9999  0 -99999999
1990-05-01 00:00 9999-99-99 99:99     135.90   230    2.73 -9999  0 -99999999
1990-06-01 00:00 9999-99-99 99:99     136.42   223    2.37 -9999  0 -99999999
1990-07-01 00:00 9999-99-99 99:99     135.76   289    2.81 -9999  0 -99999999
1990-08-01 00:00 9999-99-99 99:99     134.12   339    5.87 -9999  0 -99999999
1990-09-01 00:00 9999-99-99 99:99     131.95   148    6.98 -9999  0 -99999999
1990-10-01 00:00 9999-99-99 99:99     127.30   278    6.55 -9999  0 -99999999
1990-11-01 00:00 9999-99-99 99:99     135.01   290    5.34 -9999  0 -99999999
1990-12-01 00:00 9999-99-99 99:99     139.90   281    6.16 -9999  0 -99999999
1991-01-01 00:00 9999-99-99 99:99     138.65   314    3.00 -9999  0 -99999999
1991-02-01 00:00 9999-99-99 99:99     137.91   285    2.96 -9999  0 -99999999
1991-03-01 00:00 9999-99-99 99:99     135.22   278    2.25 -9999  0 -99999999
1991-04-01 00:00 9999-99-99 99:99     138.18   182    2.21 -9999  0 -99999999
1991-05-01 00:00 9999-99-99 99:99     138.79    78    1.69 -9999  0 -99999999
1991-06-01 00:00 9999-99-99 99:99     134.83   220    3.84 -9999  0 -99999999
1991-07-01 00:00 9999-99-99 99:99     135.65   326    2.98 -9999  0 -99999999
1991-08-01 00:00 9999-99-99 99:99     136.94   347    4.81 -9999  0 -99999999
1991-09-01 00:00 9999-99-99 99:99     134.58   327    4.35 -9999  0 -99999999
1991-10-01 00:00 9999-99-99 99:99     131.34    86    4.75 -9999  0 -99999999
1991-11-01 00:00 9999-99-99 99:99     131.52   177    4.98 -9999  0 -99999999
1991-12-01 00:00 9999-99-99 99:99     140.03   309    3.24 -9999  0 -99999999
1992-01-01 00:00 9999-99-99 99:99     136.83   269    2.52 -9999  0 -99999999
1992-02-01 00:00 9999-99-99 99:99     135.14   285    2.93 -9999  0 -99999999
1992-03-01 00:00 9999-99-99 99:99     136.90   281    3.11 -9999  0 -99999999
1992-04-01 00:00 9999-99-99 99:99     140.18    83    2.58 -9999  0 -99999999
1992-05-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
1992-06-01 00:00 9999-99-99 99:99 -999999.99 -9999 -999.99 -9999  0 -99999999
