Rigby et al. 2013 Re-evaluation of the lifetimes of the major CFCs and CH3CCl3 using atmospheric trends		
Decimal date (year)	 Mass-weighted global OH concentration (10^-5 molecules/cm^3)	" 1-sigma uncertainty, excluding emissions uncertainty (10^-5 molecules/cm^3)"
1980.58	11.7	1.1
1980.67	11.81	1.1
1980.75	11.97	1.12
1980.83	12.08	1.12
1980.92	12.17	1.13
1981	12.25	1.13
1981.08	12.23	1.13
1981.17	12.22	1.13
1981.25	12.21	1.13
1981.33	12.3	1.14
1981.42	12.34	1.15
1981.5	12.34	1.15
1981.58	12.11	1.13
1981.67	11.87	1.11
1981.75	11.61	1.08
1981.83	11.49	1.07
1981.92	11.38	1.05
1982	11.23	1.04
1982.08	11.21	1.03
1982.17	11.21	1.02
1982.25	11.21	1.02
1982.33	11.18	1.01
1982.42	11.14	1.01
1982.5	11.1	1
1982.58	11.17	1
1982.67	11.28	1.01
1982.75	11.44	1.02
1982.83	11.38	1.01
1982.92	11.34	1.01
1983	11.32	1
1983.08	11.33	1
1983.17	11.34	1
1983.25	11.36	0.99
1983.33	11.3	0.98
1983.42	11.26	0.98
1983.5	11.23	0.97
1983.58	11.19	0.97
1983.67	11.11	0.96
1983.75	10.95	0.94
1983.83	11.18	0.95
1983.92	11.34	0.96
1984	11.48	0.97
1984.08	11.48	0.97
1984.17	11.46	0.97
1984.25	11.38	0.96
1984.33	11.44	0.97
1984.42	11.5	0.97
1984.5	11.56	0.98
1984.58	11.68	0.99
1984.67	11.8	1
1984.75	11.92	1.01
1984.83	11.86	1.01
1984.92	11.85	1.01
1985	11.91	1.01
1985.08	11.84	1
1985.17	11.77	1
1985.25	11.73	0.99
1985.33	11.93	1.01
1985.42	12.12	1.03
1985.5	12.3	1.04
1985.58	12.17	1.03
1985.67	12.04	1.02
1985.75	11.93	1.01
1985.83	11.91	1.01
1985.92	11.86	1.01
1986	11.75	1
1986.08	12.05	1.03
1986.17	12.32	1.05
1986.25	12.52	1.07
1986.33	12.74	1.09
1986.42	12.95	1.11
1986.5	13.13	1.13
1986.58	13.1	1.13
1986.67	13.1	1.13
1986.75	13.14	1.13
1986.83	12.91	1.12
1986.92	12.68	1.11
1987	12.44	1.1
1987.08	12.28	1.08
1987.17	12.15	1.06
1987.25	12.1	1.06
1987.33	11.56	1
1987.42	11.08	0.95
1987.5	10.62	0.9
1987.58	10.68	0.91
1987.67	10.71	0.91
1987.75	10.67	0.91
1987.83	10.96	0.93
1987.92	11.24	0.95
1988	11.53	0.97
1988.08	11.72	0.99
1988.17	11.92	1.01
1988.25	12.1	1.03
1988.33	12.01	1.02
1988.42	11.93	1.02
1988.5	11.86	1.01
1988.58	11.94	1.02
1988.67	12.05	1.02
1988.75	12.21	1.04
1988.83	12.25	1.04
1988.92	12.28	1.03
1989	12.34	1.03
1989.08	12.28	1.03
1989.17	12.27	1.03
1989.25	12.33	1.03
1989.33	12.39	1.04
1989.42	12.42	1.04
1989.5	12.43	1.05
1989.58	12.4	1.05
1989.67	12.37	1.06
1989.75	12.34	1.07
1989.83	12.38	1.08
1989.92	12.36	1.09
1990	12.26	1.1
1990.08	12.14	1.1
1990.17	12.06	1.1
1990.25	12.02	1.11
1990.33	11.99	1.1
1990.42	12	1.11
1990.5	12.01	1.11
1990.58	12.17	1.11
1990.67	12.29	1.12
1990.75	12.37	1.12
1990.83	12.41	1.12
1990.92	12.43	1.11
1991	12.41	1.11
1991.08	12.06	1.08
1991.17	11.72	1.05
1991.25	11.44	1.02
1991.33	11.57	1.03
1991.42	11.66	1.03
1991.5	11.72	1.04
1991.58	11.51	1.01
1991.67	11.34	1
1991.75	11.21	0.98
1991.83	10.95	0.96
1991.92	10.74	0.94
1992	10.54	0.91
1992.08	10.73	0.93
1992.17	10.89	0.95
1992.25	11.02	0.97
1992.33	11.13	0.97
1992.42	11.27	0.98
1992.5	11.42	1
1992.58	11.5	1
1992.67	11.55	1
1992.75	11.55	1
1992.83	11.49	1
1992.92	11.4	0.99
1993	11.29	0.98
1993.08	11.3	0.98
1993.17	11.27	0.96
1993.25	11.18	0.95
1993.33	11.17	0.94
1993.42	11.14	0.94
1993.5	11.1	0.93
1993.58	11.05	0.93
1993.67	11.01	0.92
1993.75	10.99	0.92
1993.83	11.22	0.93
1993.92	11.46	0.94
1994	11.7	0.95
1994.08	11.67	0.94
1994.17	11.69	0.94
1994.25	11.75	0.94
1994.33	11.54	0.92
1994.42	11.34	0.91
1994.5	11.16	0.89
1994.58	11.18	0.89
1994.67	11.21	0.89
1994.75	11.23	0.89
1994.83	11.18	0.88
1994.92	11.15	0.88
1995	11.15	0.88
1995.08	11.34	0.89
